,ARGO
Price/Earnings (TTM),
Price/Sales (TTM),0.49339
Price/Book (MRQ),0.7939
Price/Cash Flow (TTM),
5yr Low,19.0
5yr High,78.57
5yr Avg Return,-0.05125
EPS Growth 5yr,
Revenue Growth 5yr,0.060691699999999994
Dividend Growth 5yr,
Short Int Current Month,301295.0
Short Int Prev Month,474585.0
Short Int Pct of Float,0.0090941
Days to Cover,1.30131
Float,33.12795
Shares Outstanding,35.0555
Institutions Holding Shares,209.0
% Held by Institutions,0.849343
FCF Growth 5yr,-0.007842157842157915
