,ARGO
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,3.95
Growth 2yr High Est,1.3515151515151516
Growth 2yr Consensus Est,2.650757575757576
Growth 5yr Low Est,3.95
Growth 5yr High Est,1.3515151515151516
Growth 5yr Consensus Est,2.650757575757576
Growth 5yr Actual/Est,-0.24304558629007156
Growth 3yr Historic,-0.7870659722222222
