,ARGO
% Above Low,0.40890000000000004
% Held by Institutions,0.8493
52-Wk Range,['19.00 - 60.29']
Annual Dividend $,1.24
Annual Dividend %,0.0463
Ask,70.0
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,1.0
Bid,26.01
Bid Size,1600.0
Closing Price,26.77
Day Change $,0.43
Day Change %,0.0163
Day High,26.97
Day Low,26.29
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-5.49
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.46299999999999997
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,937.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,26.34
Shares Outstanding,35.1M
Short Interest,0.0091
Today's Open,26.29
Volume,57766.0
Volume 10-day Avg,160890.0
Volume Past Day,(Light)
