,AMTB
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.596638655462185
Growth 1yr High Est,0.6833333333333333
Growth 1yr Consensus Est,0.6399859943977592
Growth 2yr Low Est,0.45095090667846094
Growth 2yr High Est,0.5471122112211221
Growth 2yr Consensus Est,0.4990315589497915
Growth 5yr Low Est,0.22547545333923047
Growth 5yr High Est,0.27355610561056104
Growth 5yr Consensus Est,0.24951577947489575
Growth 5yr Actual/Est,-1.5286833483105766
Growth 3yr Historic,-1.6442012288786483
