,AMTB
Price/Earnings (TTM),9.45882
Price/Sales (TTM),2.71811
Price/Book (MRQ),1.40441
Price/Cash Flow (TTM),8.66238
5yr Low,9.01
5yr High,259.23
5yr Avg Return,0.23252000000000003
EPS Growth 5yr,0.4022747
Revenue Growth 5yr,0.007439599999999999
Dividend Growth 5yr,
Short Int Current Month,450187.0
Short Int Prev Month,498660.0
Short Int Pct of Float,0.0180997
Days to Cover,5.66722
Float,22.54856
Shares Outstanding,33.77431
Institutions Holding Shares,131.0
% Held by Institutions,0.385122
FCF Growth 5yr,0.43569931117100924
