,AMTB
% Above Low,0.1884
% Held by Institutions,0.3851
52-Wk Range,['24.41 - 36.72']
Annual Dividend $,0.09
Annual Dividend %,0.0031
Ask,46.75
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,11.7
Bid Size,200.0
Closing Price,29.01
Day Change $,-0.63
Day Change %,-0.0213
Day High,29.8
Day Low,29.0
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.33799999999999997
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,979.8M
"P/E Ratio (TTM, GAAP)",9.46
Prev Close,29.64
Shares Outstanding,33.8M
Short Interest,0.0181
Today's Open,29.73
Volume,58212.0
Volume 10-day Avg,49726.0
Volume Past Day,(Above Average)
