,AIN
% Below High,0.025099999999999997
% Held by Institutions,1.0038
52-Wk Range,['75.24 - 105.30']
Annual Dividend $,0.84
Annual Dividend %,0.008199999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,41.25
Bid Size,
Closing Price,102.66
Day Change $,0.67
Day Change %,0.0066
Day High,103.81
Day Low,102.36
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2022-09-02 00:00:00
Ex-dividend Date,09/02/22
Historical Volatility,0.308
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.75
Prev Close,101.99
Shares Outstanding,31.1M
Short Interest,0.0165
Today's Open,102.73
Volume,37300.0
Volume 10-day Avg,98753.0
Volume Past Day,(Light)
