,AIN
Price/Earnings (TTM),30.74951
Price/Sales (TTM),3.17362
Price/Book (MRQ),3.914
Price/Cash Flow (TTM),17.95088
5yr Low,30.46
5yr High,105.3
5yr Avg Return,0.08708333333333335
EPS Growth 5yr,0.1736089
Revenue Growth 5yr,0.0356776
Dividend Growth 5yr,0.0942183
Short Int Current Month,507112.0
Short Int Prev Month,557921.0
Short Int Pct of Float,0.016452500000000002
Days to Cover,4.06402
Float,30.82442
Shares Outstanding,31.1
Institutions Holding Shares,309.0
% Held by Institutions,1.003847
FCF Growth 5yr,1.7887659828799514
