,HE
Price/Earnings (TTM),18.78485
Price/Sales (TTM),1.27956
Price/Book (MRQ),2.0665
Price/Cash Flow (TTM),9.11891
5yr Low,31.72
5yr High,55.15
5yr Avg Return,0.026583333333333327
EPS Growth 5yr,-0.0040162
Revenue Growth 5yr,0.036671800000000004
Dividend Growth 5yr,0.0186464
Short Int Current Month,1607879.0
Short Int Prev Month,1561245.0
Short Int Pct of Float,0.014837800000000002
Days to Cover,4.27708
Float,108.3769
Shares Outstanding,109.4704
Institutions Holding Shares,423.0
% Held by Institutions,0.573138
FCF Growth 5yr,-2.5565696748045728
