,HE
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.013953488372092981
Growth 1yr High Est,-0.018181818181818188
Growth 1yr Consensus Est,-0.016067653276955585
Growth 2yr Low Est,0.023683633172444096
Growth 2yr High Est,0.053409090909090906
Growth 2yr Consensus Est,0.0385463620407675
Growth 5yr Low Est,0.059788492944091776
Growth 5yr High Est,0.06307147801437146
Growth 5yr Consensus Est,0.06142998547923162
Growth 5yr Actual/Est,0.04833819345591059
Growth 3yr Historic,0.04186882689308613
