,POST
% Below High,0.020099999999999996
% Held by Institutions,0.9215000000000001
52-Wk Range,['61.67 - 94.54']
Annual Dividend $,
Annual Dividend %,
Ask,92.66
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,92.58
Bid Size,200.0
Day Change $,-0.28
Day Change %,-0.003
Day High,92.81
Day Low,92.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.8
Ex-dividend Date,No dividend
Historical Volatility,1.281
Last (size),100.0
Last (time),11:17a ET 11/28/22
Market Cap,5.4B
"P/E Ratio (TTM, GAAP)",7.87
Prev Close,92.92
Price,92.64
Shares Outstanding,58.6M
Short Interest,0.0378
Today's Open,92.37
Volume Past Day,(Light)
