,POST
Price/Earnings (TTM),7.8719
Price/Sales (TTM),0.93065
Price/Book (MRQ),1.67622
Price/Cash Flow (TTM),4.57677
5yr Low,63.53
5yr High,118.32
5yr Avg Return,0.037233333333333334
EPS Growth 5yr,0.8809804
Revenue Growth 5yr,0.022865299999999998
Dividend Growth 5yr,
Short Int Current Month,1982887.0
Short Int Prev Month,2276795.0
Short Int Pct of Float,0.0377925
Days to Cover,4.06323
Float,52.47293
Shares Outstanding,58.6036
Institutions Holding Shares,419.0
% Held by Institutions,0.921511
FCF Growth 5yr,0.5433320764203117
