,POST
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.47663551401869153
Growth 2yr High Est,-0.15736040609137047
Growth 2yr Consensus Est,0.15963755396366053
Growth 5yr Low Est,0.47663551401869153
Growth 5yr High Est,-0.15736040609137047
Growth 5yr Consensus Est,0.15963755396366053
Growth 5yr Actual/Est,0.18072528912047855
Growth 3yr Historic,-0.10378807762973027
