,BARK
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4375
Growth 2yr High Est,-0.46153846153846145
Growth 2yr Consensus Est,-0.4495192307692307
Growth 5yr Low Est,-0.4375
Growth 5yr High Est,-0.46153846153846145
Growth 5yr Consensus Est,-0.4495192307692307
Growth 5yr Actual/Est,-0.3869286287089013
Growth 3yr Historic,0.0
