,BARK
Price/Earnings (TTM),
Price/Sales (TTM),0.51419
Price/Book (MRQ),1.39836
Price/Cash Flow (TTM),
5yr Low,1.25
5yr High,19.54
5yr Avg Return,-0.4104333333333333
Short Int Current Month,5235512.0
Short Int Prev Month,5275965.0
Short Int Pct of Float,0.0455657
Days to Cover,4.41583
Float,122.9086
Shares Outstanding,177.2345
Institutions Holding Shares,136.0
% Held by Institutions,0.41640099999999997
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
