,TNDM
% Above Low,0.22870000000000001
% Held by Institutions,0.9934999999999999
52-Wk Range,['33.52 - 155.86']
Annual Dividend $,
Annual Dividend %,
Ask,41.31
Ask Size,100.0
Ask close,43.44
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.9
Bid,39.55
Bid Size,1000.0
Bid close,38.44
Change Since Close,0.00| |(0.00%)
Closing Price,41.18
Day Change $,1.64
Day Change %,0.0415
Day High,41.26
Day Low,38.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.06
Ex-dividend Date,No dividend
Historical Volatility,0.6900000000000001
Last (size),1000.0
Last (time),4:00p ET 11/28/22
Last Trade,41.18
Market Cap,2.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,39.54
Shares Outstanding,64.3M
Short Interest,0.0892
Today's Open,39.16
Volume,1478916.0
Volume 10-day Avg,990301.0
Volume Past Day,(Heavy Day)
