,NBR
% Below High,0.25670000000000004
% Held by Institutions,0.74
52-Wk Range,['72.46 - 207.67']
Annual Dividend $,
Annual Dividend %,
Ask,150.36
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.9
Bid,125.0
Bid Size,100.0
Change Since Close,-2.70| |(-1.75%)
Closing Price,154.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-48.32
Ex-dividend Date,No dividend
Historical Volatility,0.818
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,151.67
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,154.37
Shares Outstanding,9.4M
Short Interest,0.0444
Today's Open,
Volume,8.0
Volume 10-day Avg,97916.0
Volume Past Day,(Light)
