,NBR
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.5481745090286015
Growth 1yr High Est,-0.5750670241286864
Growth 1yr Consensus Est,-0.5616207665786439
Growth 2yr Low Est,-0.9165901716671596
Growth 2yr High Est,-1.2204988117488857
Growth 2yr Consensus Est,-1.0685444917080227
Growth 5yr Low Est,-0.9165901716671596
Growth 5yr High Est,-1.2204988117488857
Growth 5yr Consensus Est,-1.0685444917080225
Growth 5yr Actual/Est,-0.6125473952144206
Growth 3yr Historic,-0.10172117838879338
