,NBR
Price/Earnings (TTM),
Price/Sales (TTM),0.59639
Price/Book (MRQ),3.30958
Price/Cash Flow (TTM),4.91431
5yr Low,9.79
5yr High,443.25
5yr Avg Return,0.10851666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0196345
Dividend Growth 5yr,
Short Int Current Month,396222.0
Short Int Prev Month,447414.0
Short Int Pct of Float,0.0443963
Days to Cover,3.43591
Float,8.93068
Shares Outstanding,9.41573
Institutions Holding Shares,244.0
% Held by Institutions,0.73995
FCF Growth 5yr,8.583871098664718
