,SXT
Price/Earnings (TTM),22.53644
Price/Sales (TTM),2.18434
Price/Book (MRQ),3.2696
Price/Cash Flow (TTM),16.29871
5yr Low,38.24
5yr High,106.32
5yr Avg Return,0.01793333333333333
EPS Growth 5yr,0.0049876
Revenue Growth 5yr,-0.0004263
Dividend Growth 5yr,0.0731658
Short Int Current Month,609122.0
Short Int Prev Month,815074.0
Short Int Pct of Float,0.0146383
Days to Cover,3.94386
Float,41.62441
Shares Outstanding,42.03769
Institutions Holding Shares,327.0
% Held by Institutions,0.930522
FCF Growth 5yr,0.4508859911813418
