,SXT
% Above Low,0.16640000000000002
% Held by Institutions,0.9305
52-Wk Range,['63.17 - 101.76']
Annual Dividend $,1.64
Annual Dividend %,0.022099999999999998
Ask,73.75
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,73.61
Bid Size,100.0
Day Change $,-0.56
Day Change %,-0.0075
Day High,74.28
Day Low,73.1
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.29
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.289
Last (size),12.0
Last (time),3:49p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.54
Prev Close,74.24
Price,73.68
Shares Outstanding,42.0M
Short Interest,0.0146
Today's Open,73.67
Volume Past Day,(Light)
