,AIG
% Below High,0.0707
% Held by Institutions,0.9005
52-Wk Range,['47.05 - 65.73']
Annual Dividend $,1.28
Annual Dividend %,0.021
Ask,65.0
Ask Size,1100.0
B/A Ratio,4.454545454545454
B/A Size,4900x1100
Beta,1.2
Bid,60.98
Bid Size,4900.0
Closing Price,61.08
Day Change $,0.12
Day Change %,0.002
Day High,61.43
Day Low,60.97
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",16.85
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.337
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,45.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.62
Prev Close,60.96
Shares Outstanding,743.0M
Short Interest,0.0085
Today's Open,61.36
Volume,2160455.0
Volume 10-day Avg,4270528.0
Volume Past Day,(Light)
