,AIG
Price/Earnings (TTM),3.62441
Price/Sales (TTM),0.76998
Price/Book (MRQ),1.18428
Price/Cash Flow (TTM),2.25463
5yr Low,16.07
5yr High,65.73
5yr Avg Return,0.05031666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0030342000000000004
Dividend Growth 5yr,0.0
Short Int Current Month,6330607.0
Short Int Prev Month,6366744.0
Short Int Pct of Float,0.0085466
Days to Cover,1.23183
Float,740.8266
Shares Outstanding,742.98
Institutions Holding Shares,1199.0
% Held by Institutions,0.90049
FCF Growth 5yr,
