,AIG
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.7083333333333333
Growth 1yr High Est,1.0530303030303028
Growth 1yr Consensus Est,0.880681818181818
Growth 2yr Low Est,0.5431910569105691
Growth 2yr High Est,0.6713490998546348
Growth 2yr Consensus Est,0.6072700783826019
Growth 5yr Low Est,0.1549288617886179
Growth 5yr High Est,0.21432952068755132
Growth 5yr Consensus Est,0.1846291912380846
Growth 5yr Actual/Est,0.21626047754839112
Growth 3yr Historic,0.14519140989729223
