,MCRB
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.8346456692913387
Growth 1yr High Est,6.366666666666667
Growth 1yr Consensus Est,3.600656167979003
Growth 2yr Low Est,0.4237606028860126
Growth 2yr High Est,2.7036953242835597
Growth 2yr Consensus Est,1.5637279635847863
Growth 5yr Low Est,0.19029756763005667
Growth 5yr High Est,1.1643476621417799
Growth 5yr Consensus Est,0.6773226148859184
Growth 5yr Actual/Est,0.2815433756042326
Growth 3yr Historic,-0.11347926267281105
