,MCRB
Price/Earnings (TTM),
Price/Sales (TTM),66.60916
Price/Book (MRQ),13.16177
Price/Cash Flow (TTM),
5yr Low,2.02
5yr High,38.5
5yr Avg Return,0.7417833333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.4610805
Dividend Growth 5yr,
Short Int Current Month,4334863.0
Short Int Prev Month,4767958.0
Short Int Pct of Float,0.0373843
Days to Cover,4.1752
Float,116.2882
Shares Outstanding,124.5917
Institutions Holding Shares,175.0
% Held by Institutions,0.8449880000000001
FCF Growth 5yr,8.121082696770747
