,MCRB
% Below High,0.3884
% Held by Institutions,0.845
52-Wk Range,['2.50 - 11.69']
Annual Dividend $,
Annual Dividend %,
Ask,7.2
Ask Size,100.0
Ask close,8.83
B/A Ratio,1.0
B/A Size,100x100
Beta,2.7
Bid,6.95
Bid Size,100.0
Bid close,5.58
Change Since Close,-0.22| |(-3.08%)
Closing Price,7.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.35
Ex-dividend Date,No dividend
Historical Volatility,0.902
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,6.93
Market Cap,890.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.15
Shares Outstanding,124.6M
Short Interest,0.0374
Today's Open,
Volume,1.0
Volume 10-day Avg,638316.0
Volume Past Day,(Light)
