,AZPN
Price/Earnings (TTM),849.2664
Price/Sales (TTM),30.23893
Price/Book (MRQ),1.19197
Price/Cash Flow (TTM),64.93549
5yr Low,65.03
5yr High,263.59
5yr Avg Return,0.2574666666666667
Short Int Current Month,908585.0
Short Int Prev Month,1031416.0
Short Int Pct of Float,0.0323144
Days to Cover,3.65673
Float,28.07462
Shares Outstanding,64.54004
Institutions Holding Shares,461.0
% Held by Institutions,0.476723
FCF Growth 5yr,-0.189244545408929
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
