,AZPN
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.34516765285996054
Growth 1yr High Est,0.278084714548803
Growth 1yr Consensus Est,0.3116261837043818
Growth 2yr Low Est,0.1828477560487486
Growth 2yr High Est,0.26872535439255707
Growth 2yr Consensus Est,0.22578655522065283
Growth 5yr Low Est,0.12189850403249906
Growth 5yr High Est,0.1791502362617047
Growth 5yr Consensus Est,0.15052437014710188
Growth 5yr Actual/Est,0.20360439120956458
Growth 3yr Historic,0.1273469809760132
