,AZPN
% Below High,0.0755
% Held by Institutions,0.4767
52-Wk Range,['135.48 - 263.59']
Annual Dividend $,
Annual Dividend %,
Ask,244.38
Ask Size,1700.0
B/A Ratio,0.11764705882352941
B/A Size,200x1700
Beta,1.0
Bid,242.98
Bid Size,200.0
Closing Price,243.68
Day Change $,3.93
Day Change %,0.016399999999999998
Day High,245.53
Day Low,237.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.29
Ex-dividend Date,No dividend
Historical Volatility,0.368
Last (size),340.0
Last (time),1:00p ET 11/25/22
Market Cap,15.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",849.27
Prev Close,239.75
Shares Outstanding,64.5M
Short Interest,0.0323
Today's Open,238.53
Volume,108371.0
Volume 10-day Avg,231093.0
Volume Past Day,(Light)
