,MS
% Below High,0.17149999999999999
% Held by Institutions,0.6119
52-Wk Range,['72.05 - 109.73']
Annual Dividend $,3.1
Annual Dividend %,0.0341
Ask,90.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,89.96
Bid Size,100.0
Change Since Close,-0.58| |(-0.64%)
Closing Price,90.91
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",6.89
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.326
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,90.33
Market Cap,153.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.2
Prev Close,90.91
Shares Outstanding,1.7B
Short Interest,0.013500000000000002
Today's Open,
Volume,266.0
Volume 10-day Avg,5637508.0
Volume Past Day,(Light)
