,MS
Price/Earnings (TTM),13.19634
Price/Sales (TTM),2.51387
Price/Book (MRQ),1.66924
Price/Cash Flow (TTM),9.49205
5yr Low,27.2
5yr High,109.73
5yr Avg Return,0.12713333333333332
EPS Growth 5yr,0.224368
Revenue Growth 5yr,0.1000135
Dividend Growth 5yr,0.2457309
Short Int Current Month,17700023.0
Short Int Prev Month,19705003.0
Short Int Pct of Float,0.0135354
Days to Cover,2.48106
Float,1307.996
Shares Outstanding,1690.109
Institutions Holding Shares,2089.0
% Held by Institutions,0.6118520000000001
FCF Growth 5yr,-11.93373385483117
