,TGT
Price/Earnings (TTM),22.36523
Price/Sales (TTM),0.69173
Price/Book (MRQ),6.82489
Price/Cash Flow (TTM),12.24446
5yr Low,56.82
5yr High,268.98
5yr Avg Return,0.2532
EPS Growth 5yr,0.25232679999999996
Revenue Growth 5yr,0.0857005
Dividend Growth 5yr,0.0637506
Short Int Current Month,13307381.0
Short Int Prev Month,10024953.0
Short Int Pct of Float,0.0289868
Days to Cover,3.11414
Float,459.3785
Shares Outstanding,460.3101
Institutions Holding Shares,2436.0
% Held by Institutions,0.765711
FCF Growth 5yr,-0.29964109593513516
