,NSP
Price/Earnings (TTM),30.28387
Price/Sales (TTM),0.78164
Price/Book (MRQ),74.93302
Price/Cash Flow (TTM),23.36463
5yr Low,22.59
5yr High,144.92
5yr Avg Return,0.15136666666666668
EPS Growth 5yr,0.1557126
Revenue Growth 5yr,0.11074830000000001
Dividend Growth 5yr,0.2925854
Short Int Current Month,1131277.0
Short Int Prev Month,1182685.0
Short Int Pct of Float,0.0316477
Days to Cover,5.76855
Float,35.73111
Shares Outstanding,37.93434
Institutions Holding Shares,397.0
% Held by Institutions,0.912429
FCF Growth 5yr,1.7250734825907683
