,NSP
% Below High,0.043899999999999995
% Held by Institutions,0.9124
52-Wk Range,['83.94 - 123.71']
Annual Dividend $,2.08
Annual Dividend %,0.0176
Ask,125.26
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,
Bid Size,
Closing Price,118.28
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",3.91
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.38200000000000006
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.28
Prev Close,118.28
Shares Outstanding,37.9M
Short Interest,0.0316
Today's Open,
Volume,53732.0
Volume 10-day Avg,145609.0
Volume Past Day,(Light)
