,NSP
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.1869369369369367
Growth 1yr High Est,0.1875
Growth 1yr Consensus Est,0.18721846846846835
Growth 2yr Low Est,-0.005203258286749779
Growth 2yr High Est,0.150140977443609
Growth 2yr Consensus Est,0.0724688595784296
Growth 5yr Low Est,0.020125643583897818
Growth 5yr High Est,0.09301307245386198
Growth 5yr Consensus Est,0.0565693580188799
Growth 5yr Actual/Est,0.07872778235232417
Growth 3yr Historic,-0.007658651848774428
