,MD
% Above Low,0.0684
% Held by Institutions,1.0354
52-Wk Range,['14.48 - 28.02']
Annual Dividend $,
Annual Dividend %,
Ask,22.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,14.8
Bid Size,100.0
Closing Price,15.47
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.93
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),39.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.55
Prev Close,15.47
Shares Outstanding,83.1M
Short Interest,0.0536
Today's Open,
Volume,250224.0
Volume 10-day Avg,442750.0
Volume Past Day,(Light)
