,MD
Price/Earnings (TTM),16.54652
Price/Sales (TTM),0.65676
Price/Book (MRQ),1.49546
Price/Cash Flow (TTM),11.35248
5yr Low,7.37
5yr High,63.04
5yr Avg Return,-0.15071666666666667
EPS Growth 5yr,-0.1826111
Revenue Growth 5yr,-0.0969971
Dividend Growth 5yr,
Short Int Current Month,4338603.0
Short Int Prev Month,4505496.0
Short Int Pct of Float,0.053562700000000005
Days to Cover,6.62828
Float,80.97403
Shares Outstanding,83.06976
Institutions Holding Shares,297.0
% Held by Institutions,1.035444
FCF Growth 5yr,-2.2176515374791235
