,MD
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.4984802431610943
Growth 1yr High Est,-0.48538011695906436
Growth 1yr Consensus Est,-0.4919301800600793
Growth 2yr Low Est,-0.24924012158054715
Growth 2yr High Est,-0.18871278575225947
Growth 2yr Consensus Est,-0.2189764536664033
Growth 5yr Low Est,-0.12462006079027357
Growth 5yr High Est,-0.09435639287612974
Growth 5yr Consensus Est,-0.10948822683320165
Growth 5yr Actual/Est,0.02764686382890108
Growth 3yr Historic,-0.0007863593895982568
