,CHEF
% Below High,0.102
% Held by Institutions,0.8835
52-Wk Range,['26.28 - 42.16']
Annual Dividend $,
Annual Dividend %,
Ask,38.28
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,37.44
Bid Size,100.0
Closing Price,37.86
Day Change $,-0.03
Day Change %,-0.0008
Day High,38.22
Day Low,37.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.87
Ex-dividend Date,No dividend
Historical Volatility,0.462
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",43.76
Prev Close,37.89
Shares Outstanding,38.3M
Short Interest,0.0724
Today's Open,37.66
Volume,90728.0
Volume 10-day Avg,225907.0
Volume Past Day,(Light)
