,RL
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.09402795425667088
Growth 1yr High Est,-0.05724299065420568
Growth 1yr Consensus Est,-0.07563547245543828
Growth 2yr Low Est,-0.004236978530859914
Growth 2yr High Est,0.08166351086868401
Growth 2yr Consensus Est,0.03871326616891205
Growth 5yr Low Est,0.2602513024012368
Growth 5yr High Est,0.06379093910781139
Growth 5yr Consensus Est,0.16202112075452407
Growth 5yr Actual/Est,0.8146174586606248
Growth 3yr Historic,0.7971395265423243
