,RL
Price/Earnings (TTM),15.25716
Price/Sales (TTM),1.12692
Price/Book (MRQ),3.21771
Price/Cash Flow (TTM),9.75025
5yr Low,59.82
5yr High,147.79
5yr Avg Return,0.030916666666666662
EPS Growth 5yr,
Revenue Growth 5yr,-0.0134111
Dividend Growth 5yr,
Short Int Current Month,3978400.0
Short Int Prev Month,4022319.0
Short Int Pct of Float,0.09899839999999999
Days to Cover,3.60307
Float,40.19973
Shares Outstanding,65.97249
Institutions Holding Shares,513.0
% Held by Institutions,1.088702
FCF Growth 5yr,-5.293437992034824
