,RL
% Above Low,0.3214
% Held by Institutions,1.0887
52-Wk Range,['82.23 - 135.99']
Annual Dividend $,3.0
Annual Dividend %,0.0274
Ask,108.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,108.56
Bid Size,100.0
Day Change $,-0.81
Day Change %,-0.0074
Day High,109.43
Day Low,108.44
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",7.17
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.455
Last (size),100.0
Last (time),12:51p ET 11/28/22
Market Cap,7.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.26
Prev Close,109.47
Price,108.66
Shares Outstanding,66.0M
Short Interest,0.099
Today's Open,108.44
Volume Past Day,(Light)
