,RELY
Price/Earnings (TTM),
Price/Sales (TTM),3.07478
Price/Book (MRQ),3.93564
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,53.65
5yr Avg Return,-0.5556
Short Int Current Month,3109469.0
Short Int Prev Month,4153759.0
Short Int Pct of Float,0.022570899999999998
Days to Cover,2.35151
Float,138.148
Shares Outstanding,170.6638
Institutions Holding Shares,169.0
% Held by Institutions,0.706398
FCF Growth 5yr,-1.8375040442230806
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
