,RELY
% Above Low,0.5646
% Held by Institutions,0.7064
52-Wk Range,['6.66 - 25.88']
Annual Dividend $,
Annual Dividend %,
Ask,10.44
Ask Size,700.0
B/A Ratio,0.7142857142857143
B/A Size,500x700
Beta,
Bid,10.41
Bid Size,500.0
Day Change $,-0.35
Day Change %,-0.0325
Day High,10.83
Day Low,10.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.67
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),100.0
Last (time),12:32p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.77
Price,10.42
Shares Outstanding,170.7M
Short Interest,0.0226
Today's Open,10.67
Volume Past Day,(Light)
