,FORR
% Above Low,0.0481
% Held by Institutions,0.5562
52-Wk Range,['33.49 - 60.90']
Annual Dividend $,
Annual Dividend %,
Ask,53.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,14.12
Bid Size,200.0
Closing Price,35.1
Day Change $,-0.24
Day Change %,-0.0068000000000000005
Day High,35.55
Day Low,34.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.64
Ex-dividend Date,No dividend
Historical Volatility,0.34
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,668.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.46
Prev Close,35.34
Shares Outstanding,19.1M
Short Interest,0.0087
Today's Open,35.33
Volume,11580.0
Volume 10-day Avg,48316.0
Volume Past Day,(Light)
