,VST
Price/Earnings (TTM),
Price/Sales (TTM),0.72745
Price/Book (MRQ),2.7256
Price/Cash Flow (TTM),5.54235
5yr Low,11.3
5yr High,27.96
5yr Avg Return,0.04738333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.185208
Dividend Growth 5yr,
Short Int Current Month,7005148.0
Short Int Prev Month,6962064.0
Short Int Pct of Float,0.017679800000000002
Days to Cover,1.68251
Float,396.3717
Shares Outstanding,397.9535
Institutions Holding Shares,565.0
% Held by Institutions,0.979746
FCF Growth 5yr,-5.985012176775293
