,AMTX
% Above Low,0.1865
% Held by Institutions,0.573
52-Wk Range,['4.45 - 20.39']
Annual Dividend $,
Annual Dividend %,
Ask,5.4
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.8
Bid,5.26
Bid Size,200.0
Closing Price,5.28
Day Change $,-0.03
Day Change %,-0.005600000000000001
Day High,5.39
Day Low,5.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.5
Ex-dividend Date,No dividend
Historical Volatility,1.006
Last (size),40.0
Last (time),1:00p ET 11/25/22
Market Cap,185.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.31
Shares Outstanding,35.0M
Short Interest,0.1628
Today's Open,5.23
Volume,85013.0
Volume 10-day Avg,524192.0
Volume Past Day,(Light)
