,AMTX
Price/Earnings (TTM),
Price/Sales (TTM),0.72806
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,0.3705
5yr High,27.44
5yr Avg Return,0.8342666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.08164099999999999
Dividend Growth 5yr,
Short Int Current Month,5606467.0
Short Int Prev Month,5739642.0
Short Int Pct of Float,0.16281310000000002
Days to Cover,7.36411
Float,34.43498
Shares Outstanding,35.04388
Institutions Holding Shares,117.0
% Held by Institutions,0.572952
FCF Growth 5yr,0.19298852262221933
