,MIDD
Price/Earnings (TTM),19.56791
Price/Sales (TTM),1.99327
Price/Book (MRQ),3.08544
Price/Cash Flow (TTM),14.0796
5yr Low,41.73
5yr High,201.34
5yr Avg Return,0.05340000000000001
EPS Growth 5yr,0.1160489
Revenue Growth 5yr,0.0746694
Dividend Growth 5yr,
Short Int Current Month,4487160.0
Short Int Prev Month,4688180.0
Short Int Pct of Float,0.0841671
Days to Cover,4.91566
Float,53.32396
Shares Outstanding,53.88352
Institutions Holding Shares,429.0
% Held by Institutions,1.019244
FCF Growth 5yr,-0.9526851720496209
