,SPSC
Price/Earnings (TTM),93.88069
Price/Sales (TTM),11.02262
Price/Book (MRQ),9.37041
Price/Cash Flow (TTM),60.92025
5yr Low,23.76
5yr High,174.42
5yr Avg Return,0.36458333333333337
EPS Growth 5yr,0.529958
Revenue Growth 5yr,0.1480852
Dividend Growth 5yr,
Short Int Current Month,659947.0
Short Int Prev Month,721094.0
Short Int Pct of Float,0.0183767
Days to Cover,5.03769
Float,35.90757
Shares Outstanding,36.04171
Institutions Holding Shares,432.0
% Held by Institutions,1.021868
FCF Growth 5yr,-1191.68706665336
