,SPSC
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2655367231638419
Growth 1yr High Est,0.27222222222222214
Growth 1yr Consensus Est,0.26887947269303203
Growth 2yr Low Est,0.16625050443906375
Growth 2yr High Est,0.20816351285783596
Growth 2yr Consensus Est,0.18720700864844986
Growth 5yr Low Est,0.18538777186920624
Growth 5yr High Est,0.20900557056772168
Growth 5yr Consensus Est,0.19719667121846396
Growth 5yr Actual/Est,0.17861301331430007
Growth 3yr Historic,0.09621374591503268
