,UNH
Price/Earnings (TTM),26.33426
Price/Sales (TTM),1.59408
Price/Book (MRQ),6.73411
Price/Cash Flow (TTM),21.73531
5yr Low,187.72
5yr High,558.1
5yr Avg Return,0.17098333333333332
EPS Growth 5yr,0.2005687
Revenue Growth 5yr,0.09244020000000001
Dividend Growth 5yr,0.187148
Short Int Current Month,4921234.0
Short Int Prev Month,5155359.0
Short Int Pct of Float,0.0052925
Days to Cover,1.33307
Float,929.8782
Shares Outstanding,934.3491
Institutions Holding Shares,3786.0
% Held by Institutions,0.870799
FCF Growth 5yr,0.7225324721275007
