,UNH
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.16924719701014412
Growth 1yr High Est,0.17547568710359385
Growth 1yr Consensus Est,0.17236144205686899
Growth 2yr Low Est,0.14398432909867942
Growth 2yr High Est,0.15855618887553802
Growth 2yr Consensus Est,0.15127025898710872
Growth 5yr Low Est,0.13202446744835394
Growth 5yr High Est,0.13901558931826236
Growth 5yr Consensus Est,0.13552002838330815
Growth 5yr Actual/Est,0.13356632185275297
Growth 3yr Historic,0.060979554358088106
