,UNH
% Below High,0.0463
% Held by Institutions,0.8708
52-Wk Range,['439.22 - 558.10']
Annual Dividend $,6.6
Annual Dividend %,0.0123
Ask,530.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,529.5
Bid Size,100.0
Closing Price,532.27
Day Change $,-5.35
Day Change %,-0.01
Day High,539.58
Day Low,531.69
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",20.42
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.24300000000000002
Last (size),4.0
Last (time),7:00p ET 11/28/22
Market Cap,497.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.33
Prev Close,537.62
Shares Outstanding,934.3M
Short Interest,0.0053
Today's Open,535.83
Volume,2702268.0
Volume 10-day Avg,3713147.0
Volume Past Day,(Light)
