,NEX
Price/Earnings (TTM),13.02425
Price/Sales (TTM),0.85485
Price/Book (MRQ),3.231
Price/Cash Flow (TTM),5.92433
5yr Low,1.0
5yr High,19.83
5yr Avg Return,0.14375
EPS Growth 5yr,
Revenue Growth 5yr,0.2761456
Dividend Growth 5yr,
Short Int Current Month,5355873.0
Short Int Prev Month,6485584.0
Short Int Pct of Float,0.024506
Days to Cover,1.91492
Float,218.2091
Shares Outstanding,245.5298
Institutions Holding Shares,284.0
% Held by Institutions,0.8261320000000001
FCF Growth 5yr,36.86871219863263
