,NEX
% Below High,0.1968
% Held by Institutions,0.8261
52-Wk Range,['3.21 - 12.50']
Annual Dividend $,
Annual Dividend %,
Ask,10.09
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.1
Bid,9.75
Bid Size,200.0
Change Since Close,-0.15| |(-1.49%)
Closing Price,10.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.77
Ex-dividend Date,No dividend
Historical Volatility,0.728
Last (size),45.0
Last (time),5:00p ET 11/25/22
Last Trade,9.89
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",13.02
Prev Close,10.04
Shares Outstanding,245.5M
Short Interest,0.0245
Today's Open,
Volume,3415.0
Volume 10-day Avg,2691553.0
Volume Past Day,(Light)
