,RGLD
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.12256267409470756
Growth 1yr High Est,-0.10669975186104219
Growth 1yr Consensus Est,-0.11463121297787487
Growth 2yr Low Est,-0.07874165450767123
Growth 2yr High Est,0.28970567962503446
Growth 2yr Consensus Est,0.10548201255868161
Growth 5yr Low Est,0.16563152372299647
Growth 5yr High Est,0.3214303614453265
Growth 5yr Consensus Est,0.2435309425841615
Growth 5yr Actual/Est,0.32930489812226954
Growth 3yr Historic,0.33634780857003077
