,RGLD
Price/Earnings (TTM),28.41068
Price/Sales (TTM),11.70218
Price/Book (MRQ),2.62896
Price/Cash Flow (TTM),16.55063
5yr Low,59.78
5yr High,147.7
5yr Avg Return,0.04675
Short Int Current Month,2534358.0
Short Int Prev Month,2328354.0
Short Int Pct of Float,0.038710800000000004
Days to Cover,4.63637
Float,65.46798
Shares Outstanding,65.64371
Institutions Holding Shares,528.0
% Held by Institutions,0.805419
FCF Growth 5yr,-1.4165934816549572
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
