,RGLD
% Above Low,0.2622
% Held by Institutions,0.8054000000000001
52-Wk Range,['84.54 - 147.70']
Annual Dividend $,1.5
Annual Dividend %,0.0138
Ask,106.81
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,106.63
Bid Size,200.0
Day Change $,-1.82
Day Change %,-0.0167
Day High,108.34
Day Low,106.41
Dividend Pay Date,2023-01-20 00:00:00
"EPS (TTM, GAAP)",3.82
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.34
Last (size),100.0
Last (time),12:41p ET 11/28/22
Market Cap,7.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.41
Prev Close,108.52
Price,106.71
Shares Outstanding,65.6M
Short Interest,0.0387
Today's Open,108.01
Volume Past Day,(Light)
