,CHE
% Below High,0.0425
% Held by Institutions,0.9212
52-Wk Range,['430.16 - 539.87']
Annual Dividend $,1.52
Annual Dividend %,0.0029
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,206.48
Bid Size,
Closing Price,516.92
Day Change $,3.82
Day Change %,0.0074
Day High,521.22
Day Low,510.23
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",17.22
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.24600000000000002
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,7.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.03
Prev Close,513.1
Shares Outstanding,14.9M
Short Interest,0.0255
Today's Open,513.54
Volume,43546.0
Volume 10-day Avg,86148.0
Volume Past Day,(Light)
