,CHE
Price/Earnings (TTM),30.0251
Price/Sales (TTM),3.61002
Price/Book (MRQ),10.60789
Price/Cash Flow (TTM),23.94353
5yr Low,234.0
5yr High,560.0
5yr Avg Return,0.15153333333333335
EPS Growth 5yr,0.2107179
Revenue Growth 5yr,0.0629014
Dividend Growth 5yr,
Short Int Current Month,368118.0
Short Int Prev Month,305528.0
Short Int Pct of Float,0.0254903
Days to Cover,3.35116
Float,14.5102
Shares Outstanding,14.87031
Institutions Holding Shares,562.0
% Held by Institutions,0.921169
FCF Growth 5yr,0.046356442315254154
