,OPRT
Price/Earnings (TTM),
Price/Sales (TTM),0.30784
Price/Book (MRQ),0.36868
Price/Cash Flow (TTM),
5yr Low,4.03
5yr High,27.95
5yr Avg Return,-0.09315
EPS Growth 5yr,0.5670862
Revenue Growth 5yr,0.1635391
Dividend Growth 5yr,
Short Int Current Month,1813617.0
Short Int Prev Month,1599178.0
Short Int Pct of Float,0.060724600000000004
Days to Cover,3.24006
Float,30.27197
Shares Outstanding,33.1927
Institutions Holding Shares,164.0
% Held by Institutions,0.689068
FCF Growth 5yr,0.48840556098620613
