,OPRT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.11020408163265305
Growth 1yr High Est,-0.1328124999999999
Growth 1yr Consensus Est,-0.12150829081632647
Growth 2yr Low Est,-0.35097360044935405
Growth 2yr High Est,-0.016856700450450457
Growth 2yr Consensus Est,-0.18391515044990225
Growth 5yr Low Est,-0.35097360044935405
Growth 5yr High Est,-0.016856700450450457
Growth 5yr Consensus Est,-0.18391515044990225
Growth 5yr Actual/Est,-1.8637702770375406
Growth 3yr Historic,-1.8013833992094863
